"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260301","9호선2~3단계","한성백제","2241","1901","20260304",""
"20260301","9호선2~3단계","올림픽공원(한국체대)","15817","16109","20260304",""
"20260301","9호선2~3단계","둔촌오륜","2480","2509","20260304",""
"20260301","9호선2~3단계","중앙보훈병원","5295","4779","20260304",""
"20260301","경강선","판교","3488","3165","20260304",""
"20260301","경강선","이매","702","618","20260304",""
"20260301","경강선","삼동","1265","1179","20260304",""
"20260301","경강선","경기광주","5138","4884","20260304",""
"20260301","경강선","초월","2263","2068","20260304",""
"20260301","경강선","곤지암","1685","1709","20260304",""
"20260301","1호선","종각","24037","20473","20260304",""
"20260301","경강선","이천","2545","2660","20260304",""
"20260301","경강선","부발","1923","1899","20260304",""
"20260301","경강선","세종대왕릉","310","363","20260304",""
"20260301","경강선","여주","2916","2844","20260304",""
"20260301","경강선","성남","776","748","20260304",""
"20260301","경부선","서울역","12925","3640","20260304",""
"20260301","경부선","남영","6612","6977","20260304",""
"20260301","경부선","용산","54840","54517","20260304",""
"20260301","경부선","노량진","8120","7542","20260304",""
"20260301","경부선","대방","5511","6232","20260304",""
"20260301","경부선","영등포","40777","40893","20260304",""
"20260301","경부선","신도림","2932","3348","20260304",""
"20260301","경부선","신길","5568","4991","20260304",""
"20260301","경부선","구로","11726","12057","20260304",""
"20260301","경부선","가산디지털단지","5583","6987","20260304",""
"20260301","경부선","금천구청","6876","6708","20260304",""
"20260301","경부선","석수","5532","5284","20260304",""
"20260301","경부선","관악","5588","5387","20260304",""
"20260301","경부선","안양","16067","15862","20260304",""
"20260301","경부선","명학","3611","3426","20260304",""
"20260301","경부선","금정","18447","18650","20260304",""
"20260301","경부선","군포","3363","3022","20260304",""
"20260301","경부선","의왕","5178","5078","20260304",""
"20260301","경부선","성균관대","10468","10581","20260304",""
"20260301","경부선","화서","11226","11076","20260304",""
"20260301","경부선","수원","44150","44711","20260304",""
"20260301","경부선","독산","7939","7454","20260304",""
"20260301","경부선","세류","2633","2582","20260304",""
"20260301","경부선","병점","11858","12249","20260304",""
"20260301","경부선","세마","2589","2447","20260304",""
"20260301","경부선","오산대","2831","2582","20260304",""
"20260301","경부선","오산","9475","9320","20260304",""
"20260301","경부선","진위","1053","962","20260304",""
"20260301","경부선","송탄","4266","4259","20260304",""
"20260301","경부선","서정리","6602","7354","20260304",""
"20260301","경부선","평택지제","3477","3393","20260304",""
"20260301","경부선","평택","13414","13896","20260304",""
"20260301","경부선","성환","3418","3540","20260304",""
"20260301","경부선","직산","741","765","20260304",""
"20260301","경부선","두정","6653","7076","20260304",""
"20260301","경부선","천안","7790","7623","20260304",""
"20260301","경부선","당정","3753","3599","20260304",""
"20260301","경부선","서동탄","987","990","20260304",""
"20260301","경부선","광명","2971","2257","20260304",""
"20260301","경원선","이촌(국립중앙박물관)","3227","2587","20260304",""
"20260301","경원선","서빙고","2432","2478","20260304",""
"20260301","경원선","한남","1980","2043","20260304",""
"20260301","경원선","옥수","63","60","20260304",""
"20260301","경원선","응봉","1265","1123","20260304",""
"20260301","경원선","왕십리(성동구청)","15035","15212","20260304",""
"20260301","경원선","청량리(서울시립대입구)","18348","17570","20260304",""
"20260301","경원선","외대앞","7995","7602","20260304",""
"20260301","경원선","신이문","5694","5189","20260304",""
"20260301","경원선","석계","5606","5835","20260304",""
"20260301","경원선","광운대","5441","5423","20260304",""
"20260301","경원선","월계","4418","4092","20260304",""
"20260301","경원선","녹천","2931","2519","20260304",""
"20260301","경원선","창동","5","0","20260304",""
"20260301","경원선","방학","7457","7180","20260304",""
"20260301","경원선","도봉","3848","3685","20260304",""
"20260301","경원선","도봉산","8939","6391","20260304",""
"20260301","경원선","망월사","5639","5764","20260304",""
"20260301","경원선","회룡","9219","9169","20260304",""
"20260301","경원선","의정부","16217","16820","20260304",""
"20260301","경원선","가능","4510","4193","20260304",""
"20260301","경원선","녹양","3196","2961","20260304",""
"20260301","경원선","양주","5703","5534","20260304",""
"20260301","경원선","덕계","4403","4045","20260304",""
"20260301","경원선","덕정","3979","3897","20260304",""
"20260301","경원선","지행","5161","5281","20260304",""
"20260301","경원선","동두천중앙","2215","2142","20260304",""
"20260301","경원선","보산","1567","1682","20260304",""
"20260301","경원선","동두천","1095","1177","20260304",""
"20260301","경원선","소요산","3341","3332","20260304",""
"20260301","경원선","청산","147","132","20260304",""
"20260301","경원선","전곡","1266","1146","20260304",""
"20260301","경원선","연천","1087","1046","20260304",""
"20260301","경의선","서울역","1215","1187","20260304",""
"20260301","경의선","신촌","260","340","20260304",""
"20260301","경의선","효창공원앞","1754","1898","20260304",""
"20260301","경의선","공덕","2849","2176","20260304",""
"20260301","경의선","서강대","1606","1514","20260304",""
"20260301","경의선","홍대입구","2975","3743","20260304",""
"20260301","경의선","가좌","3617","3529","20260304",""
"20260301","경의선","디지털미디어시티","1766","1702","20260304",""
"20260301","경의선","수색","1470","1435","20260304",""
"20260301","경의선","한국항공대","950","941","20260304",""
"20260301","경의선","강매","1831","1641","20260304",""
"20260301","경의선","행신","4752","4646","20260304",""
"20260301","경의선","능곡","2840","2832","20260304",""
"20260301","경의선","곡산","375","348","20260304",""
"20260301","경의선","백마","4357","4152","20260304",""
